x,y,Total_Cu,Total_Fe,Total_Mn,Total_Zn,Total_Co ,Total_Ni ,Micronutrient
-105.245000,39.882000,8.575987,28308.735540,395.692062,38.891105,0.000000,27.124053,28779.018748
-105.245000,39.882000,10.579937,27452.978056,456.700627,37.617555,0.000000,4.898119,27962.774295
-105.245000,39.882000,7.846214,25696.351510,374.264417,29.619459,0.000000,2.746175,26110.827776
-105.243000,39.868000,14.711652,25547.273441,357.198902,51.000392,0.000000,5.296195,25975.480581
-105.243000,39.868000,12.730121,29040.344693,414.414414,55.229142,0.000000,6.267137,29528.985507
-105.243000,39.868000,11.564093,27479.419835,382.595061,43.708350,0.000000,6.664053,27923.951392
-105.243000,39.868000,11.960784,29537.254902,423.921569,47.843137,0.000000,6.274510,30027.254902
-105.243000,39.868000,5.905512,22106.299213,292.519685,33.858268,0.000000,29.133858,22467.716535
-71.627000,-38.750000,78.689168,87166.405024,964.678179,53.571429,22.174254,29.042386,88314.560440
-71.627000,-38.750000,70.784314,82458.823529,855.098039,56.274510,15.098039,49.019608,83505.098039
-71.627000,-38.750000,81.404472,68634.758729,929.776383,63.554335,20.204002,20.596312,69750.294233
-71.627000,-38.750000,72.941176,75811.764706,925.882353,56.862745,22.745098,26.470588,76916.666667
-71.627000,-38.750000,80.164641,81595.452764,958.643669,54.292434,21.168169,29.792238,82739.513916
-71.656000,-38.737000,66.666667,74941.176471,1111.176471,60.980392,16.470588,21.960784,76218.431373
-71.656000,-38.737000,65.712044,65017.653982,1064.338956,56.492742,17.850137,17.261671,66239.309533
-71.656000,-38.737000,63.333333,70819.607843,1102.549020,58.627451,17.254902,19.215686,72080.588235
-71.656000,-38.737000,60.023539,58379.756767,1123.185563,71.204394,14.123186,16.477050,59664.770498
